LAMMPS data file via write_data, version 2 Aug 2023, timestep = 200000, units = metal

12942 atoms
6 atom types

0 36.4134 xlo xhi
0 62.2790769461 ylo yhi
0 77.1721 zlo zhi
-0.5262170941 0 0 xy xz yz

Atom Type Labels

1 C
2 H
3 I
4 N
5 O
6 Pb

Masses

1 12.0107
2 1.00794
3 126.90447
4 14.0067
5 15.9994
6 207.2

Atoms # atomic

8503 2 2.3312615696188344 0.6253804356182934 0.6255197530184863 1 1 1
1328 2 1.0868396999752965 2.001433223625891 1.6287850822484742 1 0 0
1329 5 0.9968436299812253 2.7546607985331852 2.3076063263153257 1 0 0
1327 2 1.8200775596226122 2.9759380722529185 2.7592368681779207 1 0 0
871 2 3.134925641026737 3.971777024327932 4.319962594201025 0 0 0
873 5 3.482756823551354 3.695942955824941 3.347679953916906 0 0 0
872 2 3.6867288782716807 4.516454369859595 2.789087220175059 0 0 0
8505 5 1.409750845543065 0.8317158706633125 0.3450142063949615 1 1 1
6172 2 0.8652570223736942 4.200314732129213 1.5056190647427408 0 0 1
7598 2 4.421363419958679 0.8417900646177277 2.9433447821148913 0 1 1
7597 2 4.575274213256803 2.334224747906632 3.4349009543379503 0 1 1
6174 5 0.6366548453403205 4.922478088315224 0.9471858284003756 0 0 1
8504 2 0.7644477918429253 0.09567009366493964 0.6217371464945329 1 1 1
3966 5 3.8526920013254946 0.03560846239382564 1.3271325660031787 0 1 0
6173 2 0.005153583992133955 4.476484226783058 0.3004073460408532 0 0 1
7599 5 4.878756693504735 1.4026393375975656 3.6549075124546455 0 1 1
2102 2 7.801445791090788 2.0376513113924757 3.0658678196214293 0 0 0
2101 2 9.366342879671873 1.458916850680814 3.141207795290236 0 0 0
2103 5 8.384758703007032 1.2759197772724693 3.2590133724072254 0 0 0
3212 2 7.3806418497916075 3.8909867050989897 1.2512909528165066 0 0 0
3213 5 7.189745569116647 3.787012924271985 2.209372846520397 0 0 0
3211 2 6.700204588042381 4.599909610130463 2.508239871898427 0 0 0
3841 2 8.930446457406376 4.69726105102745 2.943276967983904 0 0 0
3843 5 9.481705194619355 5.139499931975319 3.6136190878399868 0 0 0
2062 2 8.416531173023188 0.5031011551372793 4.84104911160514 0 1 0
3817 2 9.794797303276981 4.269037840269918 5.1248176085391535 0 0 0
2559 5 10.951880331363462 1.7335481107563486 2.389829788536491 0 0 0
2558 2 10.847496195426062 1.06015454748998 1.5875604829464807 0 0 0
3929 2 10.837710638867119 4.65484108545557 2.7488404284984176 0 1 0
2557 2 11.484064690859249 1.2848064973131519 3.0782789603295924 0 0 0
3928 2 11.419225586942297 3.2437232730413386 2.1884080441725553 0 1 0
3930 5 11.55627351248261 4.246933634743234 2.2117037694488992 0 1 0
3209 2 10.8790393250936 4.770866788838196 0.7989714317761097 0 0 0
4015 2 12.57473226414513 4.981992087323539 3.0014232457425014 0 0 0
3210 5 10.290899370488027 5.078181577837037 0.09110094940817634 0 0 0
3390 5 12.134658160542775 0.6219975226115779 4.6319625860410785 0 1 0
80 2 15.276958476384051 0.04943041563370159 4.310379120425639 0 1 0
3389 2 13.119870631734882 0.7473062467104804 4.845396939506436 0 1 0
81 5 14.733207126019682 0.3338136014310727 5.024979330077311 0 1 0
2718 5 15.338622058978032 4.449169026069304 4.420584225671675 0 0 0
2717 2 16.08872343377647 4.066724858846518 3.901286640472685 0 0 0
790 2 18.238067635321432 3.9365698852730824 1.9011512029429274 0 0 0
3339 5 19.28964863220063 2.623020061908707 1.4064855300874546 0 1 0
3338 2 19.05243468869494 1.6788418519981274 1.3586298168203348 0 1 0
3337 2 20.120474550902717 2.6576626245581076 1.9289392672650576 0 1 0
5541 5 19.33138703965282 0.1314391802231623 0.7156405033300635 0 1 1
792 5 17.773959672916217 4.741533836644963 2.256862462244192 0 0 0
791 2 17.027165556583697 5.056961960515827 1.7806979754620287 0 0 0
2777 2 19.663543071286536 4.11348653702702 5.029275418407173 0 0 0
2778 5 20.32734018706869 3.4221372079219083 5.116477099068815 0 0 0
1589 2 21.203432726157722 3.5782205872345623 3.6288647583612184 0 0 0
1590 5 21.42665286468185 3.4417069597284766 2.6689874095947905 0 0 0
3808 2 22.88247542302772 2.8996487171169365 2.611950113353284 0 0 0
3810 5 23.86781428572976 2.8345178336521055 2.5911289736123013 0 0 0
4031 2 24.72572421531004 4.104389041734049 1.8924165388088183 0 0 0
4032 5 25.09602930801845 4.800810454082341 1.3426171727186833 0 0 0
3809 2 24.002198812568775 2.2343904980433673 3.338530296897397 0 0 0
6255 5 24.717024576252236 0.842466163438781 0.5952963944126213 0 1 1
6253 2 24.23829742935677 1.4529216229121644 1.2238727573740282 0 1 1
876 5 24.178491817403117 0.9707141545528324 4.426057115242212 0 0 0
1588 2 21.338414364614128 4.34397294355033 2.235584635518143 0 0 0
6254 2 25.60598103370832 1.2336002619646855 0.5255926237752836 0 1 1
874 2 25.09577860752417 0.5810637484706295 4.588182055469772 0 0 0
4036 2 27.040633053851128 1.531202359915728 1.7890136705358155 0 0 0
191 2 26.39072867639255 3.106774027850993 4.304687351491723 0 0 0
816 5 29.564579010652427 2.625027907114012 3.2523025181915393 0 0 0
815 2 30.082781608115592 3.0532597302847093 2.4606177984960946 0 0 0
2459 2 30.121807672686074 1.1985955955389342 3.064860085757938 0 0 0
4037 2 28.062903662214698 2.3044138288968146 2.878385578849382 0 0 0
4038 5 27.0997328506571 1.9961890823576267 2.6587488986736325 0 0 0
814 2 29.81684413095812 3.0593485590660734 4.134971362978855 0 0 0
5986 2 30.650555246770992 4.85818893984955 1.5200210217028165 0 0 1
149 2 27.065787533515373 0.7199473431944493 3.610891588985744 0 0 0
4703 2 30.078245939224015 0.4420267872450142 1.075862548601292 0 0 1
8494 2 28.323200255717822 1.1494986718049593 0.20069107686196944 0 0 1
8496 5 27.35528491953967 1.4441190950095448 0.11158144640428513 0 0 1
6122 2 25.973247300276096 3.985768925521861 0.19657056961134647 0 0 1
5988 5 30.935996855020388 3.941437034794102 1.669813804195887 0 0 1
2460 5 30.333789033657034 0.2314624556717392 2.847468120212845 0 0 0
192 5 26.477073493009716 3.7301375763927216 5.058352925435718 0 0 0
4704 5 29.823519100108133 0.6188515583116765 0.13514158435876636 0 0 1
