# LAMMPS data file written by OVITO Basic 3.10.6

13548 atoms
6 atom types

0.0 63.1593 xlo xhi
0.0 36.4134 ylo yhi
0.0 81.1454 zlo zhi

Atom Type Labels

1 C
2 H
3 I
4 N
5 O
6 Pb

Masses

1 12.0107  # C
2 1.00794  # H
3 126.90447  # I
4 14.0067  # N
5 15.9994  # O
6 207.2  # Pb

Atoms  # atomic

1 2 4.140548 33.086906 13.349385
2 2 4.414691 32.057644 12.133918
3 5 4.450673 33.029461 12.414637
4 2 24.565354 32.475128 12.846718
5 2 23.896121 32.091007 14.266744
6 5 24.298773 31.715768 13.417277
7 2 29.776299 6.023334 2.24578
8 2 31.029454 6.814744 2.890115
9 5 30.190395 6.914499 2.33284
10 2 60.191807 13.688026 5.330517
11 2 59.852769 14.917555 4.337941
12 5 59.607298 13.967585 4.58659
13 2 36.027755 34.013451 13.382014
14 2 37.038039 35.214081 13.768938
15 5 36.279635 34.634582 14.105881
16 2 17.544209 33.904465 16.332556
17 2 16.120112 34.09724 15.593177
18 5 16.894615 34.581939 16.028766
19 2 42.405694 28.914001 6.571424
20 2 40.842748 29.187476 6.264329
21 5 41.763492 29.115363 5.850133
22 2 21.467647 23.316287 7.920875
23 2 21.710871 22.743491 6.429352
24 5 21.583695 22.486506 7.40008
25 2 59.60591 25.481411 12.690056
26 2 58.020632 25.575571 12.989926
27 5 58.942612 25.755188 13.367043
28 2 36.312861 24.902071 3.872081
29 2 36.649606 24.933876 5.452425
30 5 36.831796 25.379458 4.562037
31 2 13.067142 23.478434 3.305297
32 2 13.285264 22.292544 4.381394
33 5 12.678167 22.639794 3.649699
34 2 44.249551 4.926566 4.37589
35 2 45.636032 4.106864 4.243021
36 5 45.156853 4.961835 3.990157
37 2 49.252671 9.859927 4.982807
38 2 50.272435 10.935788 4.338989
39 5 49.715699 10.713916 5.154676
40 2 9.299955 6.531577 5.52341
41 2 10.140507 5.203312 5.899014
42 5 9.210105 5.591714 5.809444
43 2 3.750617 4.659162 6.549697
44 2 3.980096 4.265858 4.999037
45 5 3.564278 3.966818 5.872076
46 2 45.351615 11.093222 9.557189
47 2 45.091304 9.510022 9.751127
48 5 45.213936 10.247327 9.068581
49 2 6.504673 8.344557 7.639858
50 2 7.104521 7.238868 6.6252
51 5 6.256871 7.69157 6.943127
52 2 62.074651 17.039863 6.951717
53 2 60.704893 16.335174 7.440668
54 5 61.092411 17.072806 6.865987
55 2 36.365275 4.709085 2.988529
56 2 37.613605 3.715929 2.729281
57 5 37.170415 4.322585 3.407573
58 2 51.217796 14.421736 11.633113
59 2 50.122152 15.20022 12.530566
60 5 50.954018 15.312539 11.964959
61 2 13.161906 22.146668 12.880169
62 2 11.865364 21.617568 12.073368
63 5 12.183952 22.031675 12.940284
64 2 61.434881 29.224806 11.555004
65 2 60.938355 29.648002 10.076402
66 5 60.64855 29.520452 11.037792
67 2 46.573804 35.331396 10.897274
68 2 45.393106 35.40856 11.998135
69 5 45.758661 34.877504 11.21783
70 2 51.289486 5.001882 7.973351
71 2 52.12094 5.180089 9.347695
72 5 51.246841 5.386364 8.880867
73 2 33.909012 22.177833 12.678761
74 2 34.800275 21.46117 11.53686
75 5 33.899871 21.46271 11.999242
76 2 3.761433 21.012126 6.231402
77 2 2.343522 20.455993 6.7719
78 5 3.348423 20.359017 6.844673
79 2 24.09478 17.702378 14.151858
