# LAMMPS data file written by OVITO Basic 3.10.6

4620 atoms
6 atom types

0.0 38.9003 xlo xhi
0.0 63.1593 ylo yhi
0.0 77.6016 zlo zhi

Atom Type Labels

1 C
2 H
3 I
4 N
5 O
6 Pb

Masses

1 12.0107  # C
2 1.00794  # H
3 126.90447  # I
4 14.0067  # N
5 15.9994  # O
6 207.2  # Pb

Atoms  # atomic

1 2 9.104309 6.76382 16.253296
2 2 8.710292 6.167342 17.702731
3 5 9.276812 6.019281 16.877103
4 2 22.633378 26.880611 16.694563
5 2 21.98697 26.819339 18.174529
6 5 21.841784 26.581255 17.20151
7 2 24.672252 44.247916 15.989972
8 2 24.178429 44.272443 17.528618
9 5 24.09725 43.785655 16.64489
10 2 6.984982 10.625375 18.071118
11 2 7.492537 12.15295 17.926893
12 5 7.742228 11.229516 18.257727
13 2 13.162081 38.870355 17.656947
14 2 12.935169 39.392354 19.169535
15 5 12.482754 39.221102 18.280423
16 2 22.901225 48.29219 17.45418
17 2 23.530961 48.604601 15.998939
18 5 23.561913 48.850844 16.98023
19 2 25.731685 26.503107 18.208664
20 2 26.040009 27.665974 17.12951
21 5 26.404903 27.169195 17.932374
22 2 25.113608 15.947308 18.489979
23 2 24.640545 15.746306 16.957757
24 5 24.329647 15.98075 17.892051
25 2 36.412666 56.260038 18.114973
26 2 37.9003 56.514463 17.536952
27 5 37.283221 56.674826 18.323097
28 2 13.472529 43.962641 16.52846
29 2 13.647092 42.358574 16.436857
30 5 14.137625 43.243576 16.410884
31 2 9.195985 9.418428 17.581161
32 2 9.856061 9.493679 16.107888
33 5 9.934437 9.073436 17.025374
34 2 9.842934 27.523637 16.113338
35 2 9.443996 28.770345 17.061211
36 5 9.077655 28.018325 16.49131
37 2 6.588452 20.33354 17.433113
38 2 6.117051 19.754659 15.999734
39 5 5.861475 20.363482 16.7669
40 2 11.17079 20.112773 17.863765
41 2 10.067688 19.851135 19.01555
42 5 11.049546 19.773567 18.782171
43 2 12.656703 37.112925 18.987836
44 2 11.080602 36.857569 18.737642
45 5 12.014031 36.558952 18.484528
46 2 33.998149 7.066192 17.210425
47 2 34.215947 8.213716 16.093443
48 5 34.007192 8.042478 17.068957
49 2 26.714635 44.156949 18.694715
50 2 25.463862 45.093909 19.106505
51 5 25.783504 44.137414 19.020054
52 2 8.404449 50.679839 15.999188
53 2 9.96796 50.797911 16.390835
54 5 9.066087 51.253055 16.45404
55 2 21.819595 59.462738 16.758498
56 2 23.36961 59.209931 16.377135
57 5 22.68036 59.917379 16.598444
58 2 24.882463 56.5219 17.978972
59 2 26.198977 56.123898 18.827665
60 5 25.775921 56.839904 18.250702
61 2 13.773176 22.673555 17.576944
62 2 13.778933 22.336953 15.99626
63 5 13.634266 21.950384 16.920469
64 2 10.234206 54.701102 18.310965
65 2 10.026805 54.588002 16.712188
66 5 9.570516 54.494688 17.610865
67 2 12.173795 56.81702 17.49453
68 2 11.279119 56.898326 16.151087
69 5 11.333233 57.175719 17.123019
70 2 27.794132 14.377893 18.088308
71 2 27.094912 14.212494 19.535937
72 5 26.992283 14.029897 18.545658
